SRR2920549_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920555_acute_myeloid_leukemia__leukmeia_stem_cell_LSC	AML_LSC
SRR2920532_hematopoietic_stem_cell_HSC	HSC_HSC
SRR2920522_common_lymphoid_progenitor_cell_CLP	CLP
SRR2920536_common_myeloid_progenitor_cell_CMP	CMP
SRR2920556_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920578_acute_myeloid_leukemia__leukmeia_stem_cell_LSC	AML_LSC
SRR2920590_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920589_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920579_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920503_CD71plusGPAplus_erythroblast_cell_Ery	Ery
SRR2920537_common_myeloid_progenitor_cell_CMP	CMP
SRR2920487_CD14plus_monocyte_cell_Mono	Mono
SRR2920491_CD34plus_cord_blood_CD34_Cord_Blood	CD34_Cord_Blood
SRR2920512_CD56plus_natural_killer_cell_NKcell	NK
SRR2920557_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920592_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920535_lymphoidminusprimed_multipotent_progenitor_cell_LMPP	LMPP
SRR2920583_acute_myeloid_leukemia__leukmeia_stem_cell_LSC	AML_LSC
SRR2920559_acute_myeloid_leukemia__leukmeia_stem_cell_LSC	AML_LSC
SRR2920562_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920543_CD14plus_monocyte_cell_Mono	Mono
SRR2920581_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920541_megakaryocyte_erythroid_progenitor_cell_MEP	MEP
SRR2920558_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920486_megakaryocyte_erythroid_progenitor_cell_MEP	MEP
SRR2920571_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920561_acute_myeloid_leukemia__preminusleukemic_hematopoietic_stem_cell_pHSC	AML_pHSC
SRR2920529_CD71plusGPAplus_erythroblast_cell_Ery	Ery
SRR2920469_common_myeloid_progenitor_cell_CMP	CMP
SRR2920567_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920569_acute_myeloid_leukemia__blast_cell_Blast	AML_Blast
SRR2920479_multipotent_progenitor_cell_MPP	MPP
SRR2920523_CD71plusGPAplus_erythroblast_cell_Ery	Ery
SRR6288280_Cultured_cancer_cell_line_K562_Lymphoblast	K562_Lymphoblast
SRR5831760_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR6288278_Cultured_cancer_cell_line_K562_Lymphoblast	K562_Lymphoblast
SRR5831757_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR5831767_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR6288277_Cultured_cancer_cell_line_K562_Lymphoblast	K562_Lymphoblast
SRR5831759_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR5831755_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR6288281_Cultured_cancer_cell_line_K562_Lymphoblast	K562_Lymphoblast
SRR5831768_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR5831758_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR5831756_Cultured_cancer_cell_line_Leukemic_lymphoblasts	Leukemic_lymphoblasts
SRR6288279_Cultured_cancer_cell_line_K562_Lymphoblast	K562_Lymphoblast
SRR6288282_Cultured_cancer_cell_line_K562_Lymphoblast	K562_Lymphoblast
SRR5356163_GMPminusB_Bone_Marrow_CD34plus	CD34_bone_marrow
SRR5356156_pDC_Bone_Marrow_CD34plus	pDC_Bone_Marrow_CD34
SRR5356159_Mega_Bone_Marrow_CD34plus	Mega_Bone_Marrow_CD34
SRR5356157_UNK_Bone_Marrow_CD34plus	UNK_Bone_Marrow_CD34
SRR5356164_GMPminusB_Bone_Marrow_CD34plus	CD34_bone_marrow
SRR5356166_pDC_Bone_Marrow_CD34plus	pDC_Bone_Marrow_CD34
SRR5356161_UNK_Bone_Marrow_CD34plus	UNK_Bone_Marrow_CD34
SRR5356168_UNK_Bone_Marrow_CD34plus	UNK_Bone_Marrow_CD34
SRR5356167_UNK_Bone_Marrow_CD34plus	UNK_Bone_Marrow_CD34
SRR5356158_Mega_Bone_Marrow_CD34plus	Mega_Bone_Marrow_CD34
SRR5356165_GMPminusC_Bone_Marrow_CD34plus	GMPminusC_Bone_Marrow_CD34
SRR5356162_GMPminusA_Bone_Marrow_CD34plus	GMPminusA_Bone_Marrow_CD34
SRR5356160_pDC_Bone_Marrow_CD34plus	pDC_Bone_Marrow_CD34
CD4plus_Tcell	CD4-Tcell
GM12878	GM12878
